#,접수번호,접수일자,검체유형_x,시설명,시료명_x,의뢰기관,의뢰자_x,대표자,진행상황,부적합항목수,부적합항목,제조번호,제조일자,유통기한,확인일,의뢰구분,성적서용도,검사목적,검사결과,공문번호,공문의뢰일,문서시행번호,문서시행일,최종승인일,담당팀,담당자,채취방법,채취확인자,업체명,업종,배출시설,의뢰주소,전화번호,이동전화,이메일,채취일자,채취장소_x,처리기간,처리일,수수료,항목수_x,번호,채취장소_y,의뢰자_y,검체유형_y,시료명_y,접수일,항목수_y,폼알데하이드,PM10,PM2.5,CO2,부유세균,라돈,라돈(밀폐),벤젠,톨루엔,에틸벤젠,자일렌,스틸렌,일산화탄소,염화수소,암모니아,시안화수소,페놀화합물,크롬화합물,먼지,구리화합물,질소산화물,수은화합물,카드뮴화합물,황화수소,니켈및그화합물,포름알데히드,불소화합물,아연화합물,매연,비소화합물,유류 중 황함유량,철화합물,트리클로로에틸렌,아크릴로니트릴,"1,2-Dichlorethane",Carbon tetrachloride,테트라클로로에틸렌,클로로포름,황산화물,이황화탄소,총탄화수소,납화합물
,2792400012-01,2024-02-06,실내공기질/실내공기질/다중이용시설,오남역,대합실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 오남읍 진건오남로 지하 929,6,2024-02-15,0,3,17,경기 남양주시 오남읍 진건오남로 지하 929 ,남양주시장,실내공기질/실내공기질/다중이용시설,대합실,02-06,3/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400012-02,2024-02-06,실내공기질/실내공기질/다중이용시설,오남역,승강장,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 오남읍 진건오남로 지하 929,6,2024-02-15,0,3,18,경기 남양주시 오남읍 진건오남로 지하 929 ,남양주시장,실내공기질/실내공기질/다중이용시설,승강장,02-06,3/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400013-01,2024-02-06,실내공기질/실내공기질/다중이용시설,별내별가람역,승강장,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 별내3로 지하 345 (별내동),6,2024-02-15,0,3,19,경기 남양주시 별내3로 지하 345 (별내동),남양주시장,실내공기질/실내공기질/다중이용시설,승강장,02-06,3/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400013-02,2024-02-06,실내공기질/실내공기질/다중이용시설,별내별가람역,대합실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 별내3로 지하 345 (별내동),6,2024-02-15,0,3,20,경기 남양주시 별내3로 지하 345 (별내동),남양주시장,실내공기질/실내공기질/다중이용시설,대합실,02-06,3/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400014-01,2024-02-06,실내공기질/실내공기질/다중이용시설,남양주시도시공사(진접역),대합실,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 진접읍 경복대로 지하 244,6,2024-02-15,0,3,21,경기 남양주시 진접읍 경복대로 지하 244 ,남양주시장,실내공기질/실내공기질/다중이용시설,대합실,02-06,3/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400014-02,2024-02-06,실내공기질/실내공기질/다중이용시설,남양주시도시공사(진접역),승강장,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-13,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-1959,2024-02-13,2024-02-13,대기환경팀(B),박하현,,,,,지하역사,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-06,경기 남양주시 진접읍 경복대로 지하 244,6,2024-02-15,0,3,22,경기 남양주시 진접읍 경복대로 지하 244 ,남양주시장,실내공기질/실내공기질/다중이용시설,승강장,02-06,3/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400015-01,2024-02-13,실내공기질/실내공기질/가,(주)대성남양주학원,가동 202호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-16,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2168,2024-02-16,2024-02-16,대기환경팀(B),박하현,,,,,학원,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-14,경기 남양주시 수동면 외방로135번길 12-30,6,2024-02-20,0,2,23,경기 남양주시 수동면 외방로135번길 12-30 ,남양주시장,실내공기질/실내공기질/가,가동 202호,02-13,2/2,,37.8,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400015-02,2024-02-13,실내공기질/실내공기질/가,(주)대성남양주학원,가동 203호,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-16,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2168,2024-02-16,2024-02-16,대기환경팀(B),박하현,,,,,학원,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-14,경기 남양주시 수동면 외방로135번길 12-30,6,2024-02-20,0,2,24,경기 남양주시 수동면 외방로135번길 12-30 ,남양주시장,실내공기질/실내공기질/가,가동 203호,02-13,2/2,,32.1,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400016-01,2024-02-13,실내공기질/실내공기질/나,운수사랑요양원,1층 로비,남양주시,남양주시장,,결과승인완료,0,,,,,2024-02-23,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2524,2024-02-23,2024-02-23,대기환경팀(B),박하현,,,,,노인요양시설,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-13,경기 남양주시 수동면 지둔로 15,12,2024-02-28,0,5,25,경기 남양주시 수동면 지둔로 15 ,남양주시장,실내공기질/실내공기질/나,1층 로비,02-13,5/5,14.6,27.7,24.3,733.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2792400016-02,2024-02-13,실내공기질/실내공기질/나,운수사랑요양원,3층 거실,남양주시,남양주시장,,결과승인완료,1,이산화탄소,,,,2024-02-23,관원,,,적합,기후에너지과-3262,2024-01-19,경기도보건환경연구원북부지원-2524,2024-02-23,2024-02-23,대기환경팀(B),박하현,,,,,노인요양시설,경기 남양주시 경춘로 1037 (금곡동),,,,2024-02-13,경기 남양주시 수동면 지둔로 15,12,2024-02-28,0,5,26,경기 남양주시 수동면 지둔로 15 ,남양주시장,실내공기질/실내공기질/나,3층 거실,02-13,5/5,16.6,25.0,10.9,1046.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
